Sequence	Position	P start	P occupied
TEMP	133	0.000977	0.502
TEMP	134	0.000664	0.503
TEMP	135	0.000548	0.503
TEMP	136	0.00068	0.504
TEMP	137	0.00119	0.505
TEMP	138	0.00171	0.507
TEMP	139	0.00271	0.509
TEMP	140	0.00635	0.516
TEMP	141	0.0101	0.526
TEMP	142	0.0121	0.538
TEMP	143	0.00862	0.547
TEMP	144	0.00567	0.552
TEMP	145	0.00307	0.555
TEMP	146	0.00171	0.557
TEMP	147	0.00144	0.557
TEMP	148	0.00147	0.557
TEMP	149	0.00169	0.558
TEMP	150	0.00186	0.558
TEMP	151	0.00214	0.559
TEMP	152	0.00181	0.557
TEMP	153	0.0019	0.553
TEMP	154	0.00174	0.547
TEMP	155	0.00148	0.542
TEMP	156	0.00174	0.540
TEMP	157	0.00194	0.540
TEMP	158	0.00264	0.542
TEMP	159	0.00316	0.544
TEMP	160	0.00267	0.546
TEMP	161	0.00226	0.548
TEMP	162	0.00232	0.548
TEMP	163	0.00191	0.546
TEMP	164	0.00225	0.542
TEMP	165	0.00242	0.538
TEMP	166	0.00369	0.535
TEMP	167	0.00451	0.534
TEMP	168	0.00448	0.534
TEMP	169	0.00525	0.537
TEMP	170	0.00814	0.543
TEMP	171	0.00676	0.547
TEMP	172	0.00559	0.549
TEMP	173	0.00315	0.546
TEMP	174	0.00169	0.540
TEMP	175	0.00116	0.527
TEMP	176	0.000674	0.513
TEMP	177	0.000609	0.503
TEMP	178	0.000745	0.498
TEMP	179	0.0013	0.494
TEMP	180	0.00298	0.494
TEMP	181	0.00531	0.497
TEMP	182	0.00534	0.499
TEMP	183	0.00281	0.498
TEMP	184	0.00166	0.495
TEMP	185	0.00112	0.492
TEMP	186	0.000627	0.489
TEMP	187	0.000346	0.488
TEMP	188	0.000433	0.487
TEMP	189	0.000576	0.487
TEMP	190	0.00104	0.487
TEMP	191	0.00225	0.487
TEMP	192	0.00302	0.487
TEMP	193	0.00384	0.486
TEMP	194	0.00299	0.478
TEMP	195	0.00145	0.461
TEMP	196	0.000893	0.440
TEMP	197	0.000555	0.427
TEMP	198	0.00044	0.417
TEMP	199	0.000546	0.412
TEMP	200	0.000985	0.410
TEMP	201	0.00188	0.409
TEMP	202	0.00402	0.410
TEMP	203	0.0057	0.413
TEMP	204	0.00516	0.414
TEMP	205	0.00425	0.414
TEMP	206	0.00263	0.413
TEMP	207	0.00211	0.411
TEMP	208	0.00169	0.408
TEMP	209	0.00188	0.407
TEMP	210	0.00282	0.407
TEMP	211	0.00493	0.409
TEMP	212	0.00798	0.413
TEMP	213	0.00864	0.417
TEMP	214	0.0111	0.425
TEMP	215	0.00915	0.431
TEMP	216	0.00721	0.435
TEMP	217	0.00459	0.437
TEMP	218	0.00408	0.438
TEMP	219	0.0033	0.437
TEMP	220	0.00325	0.435
TEMP	221	0.00401	0.433
TEMP	222	0.00424	0.431
TEMP	223	0.00472	0.429
TEMP	224	0.0043	0.424
TEMP	225	0.0023	0.419
TEMP	226	0.00134	0.414
TEMP	227	0.000992	0.412
TEMP	228	0.00093	0.411
TEMP	229	0.00132	0.411
TEMP	230	0.00263	0.413
TEMP	231	0.00423	0.417
TEMP	232	0.0069	0.424
TEMP	233	0.0143	0.437
TEMP	234	0.0174	0.452
TEMP	235	0.0162	0.464
TEMP	236	0.0109	0.470
TEMP	237	0.00821	0.476
TEMP	238	0.00625	0.481
TEMP	239	0.00488	0.484
TEMP	240	0.00506	0.489
TEMP	241	0.00549	0.494
TEMP	242	0.00528	0.499
TEMP	243	0.00444	0.503
TEMP	244	0.0042	0.507
TEMP	245	0.00272	0.508
TEMP	246	0.0028	0.508
TEMP	247	0.0029	0.508
TEMP	248	0.00284	0.508
TEMP	249	0.00272	0.510
TEMP	250	0.00377	0.513
TEMP	251	0.00443	0.517
TEMP	252	0.00498	0.522
TEMP	253	0.00392	0.525
TEMP	254	0.00306	0.528
TEMP	255	0.00255	0.529
TEMP	256	0.00242	0.529
TEMP	257	0.00258	0.528
TEMP	258	0.00345	0.528
TEMP	259	0.00654	0.532
TEMP	260	0.00727	0.537
TEMP	261	0.0055	0.541
TEMP	262	0.00529	0.545
TEMP	263	0.00685	0.551
TEMP	264	0.00615	0.556
TEMP	265	0.0055	0.559
TEMP	266	0.00413	0.558
TEMP	267	0.00268	0.555
TEMP	268	0.00229	0.547
TEMP	269	0.00143	0.541
TEMP	270	0.0013	0.537
TEMP	271	0.00119	0.536
TEMP	272	0.00181	0.535
TEMP	273	0.00235	0.536
TEMP	274	0.00284	0.537
TEMP	275	0.00229	0.538
TEMP	276	0.00154	0.538
TEMP	277	0.00118	0.536
TEMP	278	0.00137	0.535
TEMP	279	0.0012	0.534
TEMP	280	0.000913	0.534
TEMP	281	0.000786	0.534
TEMP	282	0.000623	0.534
TEMP	283	0.000632	0.534
TEMP	284	0.000927	0.534
TEMP	285	0.00112	0.533
TEMP	286	0.00178	0.532
TEMP	287	0.00196	0.528
TEMP	288	0.00138	0.519
TEMP	289	0.00103	0.508
TEMP	290	0.000692	0.500
TEMP	291	0.00055	0.495
TEMP	292	0.000629	0.493
TEMP	293	0.000825	0.492
TEMP	294	0.000831	0.491
TEMP	295	0.000842	0.491
TEMP	296	0.00104	0.490
TEMP	297	0.0013	0.489
TEMP	298	0.00263	0.490
TEMP	299	0.00323	0.491
TEMP	300	0.0049	0.494
TEMP	301	0.00474	0.497
TEMP	302	0.00317	0.499
TEMP	303	0.00197	0.499
TEMP	304	0.00166	0.499
TEMP	305	0.00185	0.498
TEMP	306	0.00196	0.497
TEMP	307	0.00347	0.498
TEMP	308	0.00231	0.498
TEMP	309	0.00143	0.497
TEMP	310	0.00069	0.496
TEMP	311	0.000652	0.494
TEMP	312	0.000807	0.493
TEMP	313	0.00112	0.490
TEMP	314	0.00189	0.487
TEMP	315	0.00196	0.485
TEMP	316	0.00165	0.481
TEMP	317	0.000978	0.474
TEMP	318	0.000751	0.468
TEMP	319	0.000393	0.463
TEMP	320	0.000364	0.460
TEMP	321	0.000377	0.459
TEMP	322	0.000474	0.458
TEMP	323	0.000409	0.458
TEMP	324	0.000676	0.458
TEMP	325	0.00105	0.458
TEMP	326	0.00159	0.458
TEMP	327	0.00193	0.457
TEMP	328	0.00154	0.454
TEMP	329	0.00114	0.449
TEMP	330	0.000631	0.447
TEMP	331	0.000593	0.446
TEMP	332	0.000579	0.446
TEMP	333	0.00107	0.446
TEMP	334	0.00164	0.447
TEMP	335	0.00179	0.449
TEMP	336	0.00207	0.450
TEMP	337	0.00135	0.451
TEMP	338	0.000795	0.449
TEMP	339	0.000327	0.446
TEMP	340	0.00024	0.443
TEMP	341	0.00017	0.440
TEMP	342	0.000181	0.439
TEMP	343	0.000288	0.438
TEMP	344	0.000583	0.438
TEMP	345	0.00102	0.439
TEMP	346	0.00175	0.440
TEMP	347	0.00175	0.441
TEMP	348	0.00153	0.440
TEMP	349	0.0012	0.438
TEMP	350	0.00064	0.432
TEMP	351	0.000445	0.428
TEMP	352	0.000356	0.424
TEMP	353	0.000316	0.422
TEMP	354	0.000392	0.420
TEMP	355	0.000755	0.419
TEMP	356	0.00189	0.419
TEMP	357	0.00238	0.418
TEMP	358	0.00201	0.416
TEMP	359	0.00125	0.409
TEMP	360	0.000694	0.401
TEMP	361	0.000531	0.390
TEMP	362	0.00059	0.382
TEMP	363	0.000939	0.375
TEMP	364	0.00167	0.373
TEMP	365	0.00221	0.371
TEMP	366	0.00196	0.369
TEMP	367	0.00165	0.368
TEMP	368	0.00108	0.365
TEMP	369	0.000597	0.361
TEMP	370	0.000422	0.357
TEMP	371	0.000385	0.353
TEMP	372	0.000536	0.351
TEMP	373	0.000667	0.350
TEMP	374	0.00097	0.350
TEMP	375	0.00148	0.351
TEMP	376	0.00186	0.352
TEMP	377	0.00157	0.351
TEMP	378	0.00108	0.347
TEMP	379	0.00079	0.341
TEMP	380	0.000477	0.327
TEMP	381	0.000293	0.310
TEMP	382	0.000226	0.294
TEMP	383	0.000316	0.284
TEMP	384	0.000531	0.276
TEMP	385	0.000842	0.271
TEMP	386	0.000971	0.267
TEMP	387	0.00121	0.263
TEMP	388	0.00145	0.259
TEMP	389	0.00125	0.255
TEMP	390	0.00097	0.251
TEMP	391	0.000867	0.248
TEMP	392	0.000775	0.246
TEMP	393	0.000778	0.244
TEMP	394	0.000752	0.242
TEMP	395	0.000814	0.240
TEMP	396	0.00123	0.238
TEMP	397	0.00127	0.236
TEMP	398	0.0015	0.233
TEMP	399	0.00217	0.230
TEMP	400	0.00185	0.228
TEMP	401	0.00145	0.226
TEMP	402	0.000692	0.225
TEMP	403	0.000651	0.223
TEMP	404	0.000506	0.221
TEMP	405	0.000562	0.218
TEMP	406	0.000641	0.212
TEMP	407	0.000746	0.205
TEMP	408	0.0013	0.201
TEMP	409	0.00164	0.198
TEMP	410	0.00187	0.193
TEMP	411	0.00173	0.188
TEMP	412	0.00105	0.184
TEMP	413	0.000393	0.180
TEMP	414	0.000175	0.178
TEMP	415	8.24e-05	0.175
TEMP	416	5.73e-05	0.174
TEMP	417	4.83e-05	0.173
TEMP	418	8.33e-05	0.172
TEMP	419	0.0001	0.170
TEMP	420	0.00013	0.168
TEMP	421	0.000166	0.165
TEMP	422	0.00034	0.163
TEMP	423	0.000445	0.162
TEMP	424	0.000366	0.161
TEMP	425	0.000321	0.160
TEMP	426	0.000202	0.159
TEMP	427	0.000126	0.158
TEMP	428	0.0001	0.158
TEMP	429	8.47e-05	0.157
TEMP	430	8.71e-05	0.157
TEMP	431	0.00013	0.156
TEMP	432	0.00021	0.155
TEMP	433	0.0005	0.154
TEMP	434	0.000621	0.152
TEMP	435	0.000545	0.151
TEMP	436	0.000336	0.151
TEMP	437	0.000243	0.150
TEMP	438	0.000215	0.150
TEMP	439	0.000341	0.150
TEMP	440	0.000492	0.149
TEMP	441	0.000668	0.149
TEMP	442	0.000807	0.149
TEMP	443	0.000622	0.149
TEMP	444	0.00059	0.148
TEMP	445	0.000591	0.146
TEMP	446	0.000594	0.143
TEMP	447	0.00102	0.139
TEMP	448	0.00141	0.136
TEMP	449	0.00177	0.135
TEMP	450	0.00124	0.134
TEMP	451	0.000685	0.133
TEMP	452	0.00043	0.132
TEMP	453	0.000379	0.130
TEMP	454	0.000389	0.127
TEMP	455	0.000396	0.125
TEMP	456	0.000469	0.124
TEMP	457	0.000593	0.124
TEMP	458	0.000819	0.124
TEMP	459	0.00117	0.124
TEMP	460	0.0015	0.125
TEMP	461	0.00172	0.125
TEMP	462	0.00152	0.124
TEMP	463	0.000796	0.123
TEMP	464	0.000416	0.123
TEMP	465	0.00039	0.122
TEMP	466	0.000454	0.122
TEMP	467	0.000808	0.123
TEMP	468	0.00114	0.124
TEMP	469	0.00111	0.124
TEMP	470	0.000841	0.125
TEMP	471	0.000547	0.125
TEMP	472	0.000349	0.124
TEMP	473	0.00038	0.123
TEMP	474	0.000457	0.121
TEMP	475	0.000554	0.120
TEMP	476	0.000811	0.120
TEMP	477	0.00085	0.120
TEMP	478	0.000937	0.120
TEMP	479	0.000651	0.121
TEMP	480	0.000442	0.120
TEMP	481	0.000346	0.119
TEMP	482	0.000216	0.117
TEMP	483	0.000137	0.115
TEMP	484	7.38e-05	0.114
TEMP	485	7.32e-05	0.113
TEMP	486	9.85e-05	0.113
TEMP	487	0.000228	0.113
TEMP	488	0.000498	0.113
TEMP	489	0.000756	0.114
TEMP	490	0.00122	0.115
TEMP	491	0.001	0.115
TEMP	492	0.000932	0.115
TEMP	493	0.000594	0.114
TEMP	494	0.000478	0.113
TEMP	495	0.000553	0.112
TEMP	496	0.000734	0.111
TEMP	497	0.000953	0.112
TEMP	498	0.000917	0.112
TEMP	499	0.000894	0.113
TEMP	500	0.000481	0.113
TEMP	501	0.000339	0.113
TEMP	502	0.000339	0.112
TEMP	503	0.000308	0.111
TEMP	504	0.000332	0.109
TEMP	505	0.000592	0.107
TEMP	506	0.000599	0.107
TEMP	507	0.000562	0.106
TEMP	508	0.000629	0.106
TEMP	509	0.000707	0.107
TEMP	510	0.000652	0.106
TEMP	511	0.000544	0.105
TEMP	512	0.000325	0.103
TEMP	513	0.000211	0.102
TEMP	514	0.000205	0.100
TEMP	515	0.00022	0.0997
TEMP	516	0.000356	0.0994
TEMP	517	0.00056	0.0996
TEMP	518	0.000747	0.0999
TEMP	519	0.00107	0.100
TEMP	520	0.00133	0.101
TEMP	521	0.000986	0.101
TEMP	522	0.000535	0.100
TEMP	523	0.000279	0.0986
TEMP	524	0.000155	0.0972
TEMP	525	0.000128	0.0963
TEMP	526	0.000151	0.0956
TEMP	527	0.00026	0.0954
TEMP	528	0.000461	0.0956
TEMP	529	0.000697	0.0961
TEMP	530	0.000577	0.0963
TEMP	531	0.000442	0.0962
TEMP	532	0.000246	0.0956
TEMP	533	0.000163	0.0948
TEMP	534	0.000116	0.0937
TEMP	535	0.000156	0.0924
TEMP	536	0.000279	0.0915
TEMP	537	0.000453	0.0909
TEMP	538	0.00057	0.0906
TEMP	539	0.000428	0.0903
TEMP	540	0.000289	0.0898
TEMP	541	0.000282	0.0893
TEMP	542	0.000231	0.0888
TEMP	543	0.000203	0.0877
TEMP	544	0.000217	0.0867
TEMP	545	0.000179	0.0854
TEMP	546	0.000163	0.0833
TEMP	547	0.000253	0.0818
TEMP	548	0.000351	0.0807
TEMP	549	0.000553	0.0805
TEMP	550	0.000712	0.0806
TEMP	551	0.000669	0.0807
TEMP	552	0.000379	0.0806
TEMP	553	0.00017	0.0801
TEMP	554	0.000119	0.0795
TEMP	555	9.79e-05	0.0783
TEMP	556	0.000131	0.0767
TEMP	557	0.000251	0.0751
TEMP	558	0.000531	0.0739
TEMP	559	0.000752	0.0736
TEMP	560	0.000686	0.0739
TEMP	561	0.000456	0.0742
TEMP	562	0.000224	0.0743
TEMP	563	0.000103	0.0744
TEMP	564	6.94e-05	0.0744
TEMP	565	5.35e-05	0.0744
TEMP	566	6.9e-05	0.0744
TEMP	567	0.000112	0.0743
TEMP	568	0.000183	0.0744
TEMP	569	0.000272	0.0743
TEMP	570	0.000317	0.0742
TEMP	571	0.00028	0.0741
TEMP	572	0.000194	0.0739
TEMP	573	0.000151	0.0739
TEMP	574	0.000102	0.0739
TEMP	575	9.8e-05	0.0739
TEMP	576	0.000172	0.0740
TEMP	577	0.00034	0.0742
TEMP	578	0.000484	0.0746
TEMP	579	0.000726	0.0751
TEMP	580	0.000715	0.0753
TEMP	581	0.000447	0.0751
TEMP	582	0.000316	0.0749
TEMP	583	0.000222	0.0748
TEMP	584	0.000193	0.0747
TEMP	585	0.000258	0.0748
TEMP	586	0.000334	0.0748
TEMP	587	0.000402	0.0747
TEMP	588	0.000638	0.0746
TEMP	589	0.000646	0.0745
TEMP	590	0.000437	0.0743
TEMP	591	0.000268	0.0740
TEMP	592	0.000121	0.0735
TEMP	593	7.53e-05	0.0730
TEMP	594	7.91e-05	0.0720
TEMP	595	8.88e-05	0.0707
TEMP	596	0.000254	0.0692
TEMP	597	0.000629	0.0686
TEMP	598	0.00125	0.0692
TEMP	599	0.0013	0.0700
TEMP	600	0.000755	0.0704
TEMP	601	0.000401	0.0704
TEMP	602	0.000167	0.0702
TEMP	603	8.03e-05	0.0698
TEMP	604	7.45e-05	0.0693
TEMP	605	0.000151	0.0686
TEMP	606	0.000477	0.0679
TEMP	607	0.00157	0.0680
TEMP	608	0.0041	0.0704
TEMP	609	0.0053	0.0741
TEMP	610	0.00431	0.0777
TEMP	611	0.00145	0.0787
TEMP	612	0.000418	0.0787
TEMP	613	0.00011	0.0784
TEMP	614	4.48e-05	0.0776
TEMP	615	3.97e-05	0.0765
TEMP	616	7.3e-05	0.0755
TEMP	617	0.00022	0.0749
TEMP	618	0.000539	0.0749
TEMP	619	0.000883	0.0754
TEMP	620	0.000723	0.0757
TEMP	621	0.000381	0.0757
TEMP	622	0.000159	0.0753
TEMP	623	8.3e-05	0.0745
TEMP	624	8.48e-05	0.0738
TEMP	625	0.000104	0.0729
TEMP	626	0.000187	0.0725
TEMP	627	0.000255	0.0723
TEMP	628	0.000371	0.0723
TEMP	629	0.000357	0.0724
TEMP	630	0.000227	0.0725
TEMP	631	0.000111	0.0726
TEMP	632	5.25e-05	0.0726
TEMP	633	2.54e-05	0.0725
TEMP	634	1.73e-05	0.0723
TEMP	635	2.75e-05	0.0718
TEMP	636	8.64e-05	0.0711
TEMP	637	0.000251	0.0702
TEMP	638	0.000594	0.0698
TEMP	639	0.000983	0.0698
TEMP	640	0.000715	0.0699
TEMP	641	0.000402	0.0698
TEMP	642	0.000306	0.0696
TEMP	643	0.000223	0.0691
TEMP	644	0.000224	0.0684
TEMP	645	0.000287	0.0677
TEMP	646	0.000432	0.0673
TEMP	647	0.000628	0.0674
TEMP	648	0.00116	0.0682
TEMP	649	0.00146	0.0694
TEMP	650	0.00147	0.0705
TEMP	651	0.0012	0.0714
TEMP	652	0.000582	0.0714
TEMP	653	0.000238	0.0710
TEMP	654	0.000235	0.0707
TEMP	655	0.000327	0.0704
TEMP	656	0.000658	0.0703
TEMP	657	0.00119	0.0709
TEMP	658	0.00209	0.0724
TEMP	659	0.00307	0.0752
TEMP	660	0.00292	0.0779
TEMP	661	0.00178	0.0795
TEMP	662	0.00112	0.0804
TEMP	663	0.000656	0.0807
TEMP	664	0.000408	0.0805
TEMP	665	0.000432	0.0802
TEMP	666	0.000558	0.0797
TEMP	667	0.00105	0.0794
TEMP	668	0.0018	0.0802
TEMP	669	0.00413	0.0838
TEMP	670	0.00705	0.0906
TEMP	671	0.00661	0.0970
TEMP	672	0.00454	0.101
TEMP	673	0.00183	0.103
TEMP	674	0.00087	0.103
TEMP	675	0.000921	0.104
TEMP	676	0.000979	0.104
TEMP	677	0.00169	0.105
TEMP	678	0.00212	0.107
TEMP	679	0.00188	0.108
TEMP	680	0.00135	0.110
TEMP	681	0.000956	0.110
TEMP	682	0.000595	0.111
TEMP	683	0.000529	0.111
TEMP	684	0.000689	0.111
TEMP	685	0.000712	0.112
TEMP	686	0.000929	0.112
TEMP	687	0.00116	0.113
TEMP	688	0.000881	0.114
TEMP	689	0.000555	0.114
TEMP	690	0.00038	0.114
TEMP	691	0.000312	0.114
TEMP	692	0.000259	0.114
TEMP	693	0.000303	0.114
TEMP	694	0.000338	0.114
TEMP	695	0.00048	0.115
TEMP	696	0.000599	0.115
TEMP	697	0.000776	0.115
TEMP	698	0.00125	0.115
TEMP	699	0.00168	0.117
TEMP	700	0.00129	0.118
TEMP	701	0.000895	0.118
TEMP	702	0.000467	0.119
TEMP	703	0.000306	0.119
TEMP	704	0.000255	0.119
TEMP	705	0.000275	0.119
TEMP	706	0.000476	0.118
TEMP	707	0.0011	0.119
TEMP	708	0.00199	0.120
TEMP	709	0.00227	0.122
TEMP	710	0.0021	0.124
TEMP	711	0.00106	0.125
TEMP	712	0.00053	0.126
TEMP	713	0.000404	0.126
TEMP	714	0.000341	0.126
TEMP	715	0.000367	0.127
TEMP	716	0.000384	0.127
TEMP	717	0.000326	0.127
TEMP	718	0.000312	0.127
TEMP	719	0.000394	0.127
TEMP	720	0.000508	0.127
TEMP	721	0.000641	0.128
TEMP	722	0.000514	0.128
TEMP	723	0.000297	0.128
TEMP	724	0.000187	0.128
TEMP	725	0.000198	0.128
TEMP	726	0.000239	0.128
TEMP	727	0.000339	0.127
TEMP	728	0.000318	0.127
TEMP	729	0.000196	0.127
TEMP	730	0.000151	0.127
TEMP	731	0.000123	0.127
TEMP	732	0.000151	0.127
TEMP	733	0.000182	0.126
TEMP	734	0.000182	0.126
TEMP	735	0.000234	0.126
TEMP	736	0.000453	0.126
TEMP	737	0.000505	0.126
TEMP	738	0.000597	0.126
TEMP	739	0.000462	0.126
TEMP	740	0.000205	0.127
TEMP	741	0.000171	0.127
TEMP	742	0.000178	0.127
TEMP	743	0.000264	0.127
TEMP	744	0.000324	0.126
TEMP	745	0.000368	0.126
TEMP	746	0.000319	0.125
TEMP	747	0.000257	0.124
TEMP	748	0.00013	0.124
TEMP	749	7.44e-05	0.124
TEMP	750	7.91e-05	0.124
TEMP	751	0.000106	0.124
TEMP	752	0.000151	0.124
TEMP	753	0.000212	0.123
TEMP	754	0.000302	0.122
TEMP	755	0.000256	0.118
TEMP	756	0.000235	0.113
TEMP	757	0.000208	0.109
TEMP	758	0.000209	0.108
TEMP	759	0.000176	0.108
TEMP	760	0.000167	0.108
TEMP	761	0.000145	0.108
TEMP	762	0.000127	0.108
TEMP	763	0.000138	0.108
TEMP	764	0.000163	0.108
TEMP	765	0.000307	0.108
TEMP	766	0.000467	0.107
TEMP	767	0.000655	0.107
TEMP	768	0.000616	0.107
TEMP	769	0.000642	0.108
TEMP	770	0.000534	0.108
TEMP	771	0.000319	0.109
TEMP	772	0.000273	0.109
TEMP	773	0.000196	0.109
TEMP	774	0.000123	0.109
TEMP	775	0.000145	0.108
TEMP	776	0.000243	0.108
TEMP	777	0.000371	0.108
TEMP	778	0.000617	0.109
TEMP	779	0.000888	0.110
TEMP	780	0.00115	0.111
TEMP	781	0.000915	0.112
TEMP	782	0.00051	0.112
TEMP	783	0.000319	0.113
TEMP	784	0.000309	0.113
TEMP	785	0.000327	0.112
TEMP	786	0.000411	0.112
TEMP	787	0.000545	0.112
TEMP	788	0.000518	0.112
TEMP	789	0.0005	0.112
TEMP	790	0.000653	0.112
TEMP	791	0.0011	0.113
TEMP	792	0.00199	0.115
TEMP	793	0.00201	0.117
TEMP	794	0.00128	0.117
TEMP	795	0.00109	0.117
TEMP	796	0.000901	0.117
TEMP	797	0.000565	0.116
TEMP	798	0.000356	0.115
TEMP	799	0.000308	0.115
TEMP	800	0.000267	0.115
TEMP	801	0.000337	0.115
TEMP	802	0.000675	0.115
TEMP	803	0.00181	0.116
TEMP	804	0.00387	0.119
TEMP	805	0.00678	0.124
TEMP	806	0.00628	0.127
TEMP	807	0.00478	0.129
TEMP	808	0.0027	0.130
TEMP	809	0.00153	0.130
TEMP	810	0.00123	0.130
TEMP	811	0.00113	0.131
TEMP	812	0.00162	0.132
TEMP	813	0.00191	0.134
TEMP	814	0.00217	0.135
TEMP	815	0.00203	0.135
TEMP	816	0.00127	0.132
TEMP	817	0.00141	0.127
TEMP	818	0.000995	0.121
TEMP	819	0.00102	0.117
TEMP	820	0.00111	0.117
TEMP	821	0.00124	0.117
TEMP	822	0.00142	0.118
TEMP	823	0.00218	0.119
TEMP	824	0.00336	0.120
TEMP	825	0.00377	0.122
TEMP	826	0.00277	0.123
TEMP	827	0.00133	0.123
TEMP	828	0.000563	0.123
TEMP	829	0.000207	0.122
TEMP	830	0.000117	0.122
TEMP	831	8.27e-05	0.121
TEMP	832	0.000139	0.121
TEMP	833	0.000268	0.120
TEMP	834	0.000659	0.119
TEMP	835	0.00165	0.120
TEMP	836	0.00236	0.122
TEMP	837	0.00188	0.124
TEMP	838	0.000877	0.124
TEMP	839	0.000436	0.124
TEMP	840	0.000279	0.124
TEMP	841	0.000278	0.124
TEMP	842	0.000342	0.124
TEMP	843	0.000559	0.124
TEMP	844	0.00127	0.125
TEMP	845	0.00291	0.126
TEMP	846	0.00645	0.131
TEMP	847	0.00722	0.137
TEMP	848	0.00563	0.142
TEMP	849	0.00263	0.144
TEMP	850	0.0014	0.145
TEMP	851	0.000744	0.145
TEMP	852	0.000654	0.146
TEMP	853	0.00072	0.146
TEMP	854	0.000853	0.146
TEMP	855	0.00108	0.145
TEMP	856	0.0013	0.144
